hidden_size,num_layers,dropout,linear_size,mae_train,mae_val,mape_train,mape_val
4,4,0.125,4,0.41250650526542465,0.4401937999308728,3.5441165387083085,4.43276638798773
4,2,0.125,4,0.4064706019282795,0.44044822288201807,3.5639596555061477,4.488261489741214
16,1,0.125,4,0.3952104018734145,0.4405040492909137,3.4812907407210365,4.496599140884498
2,1,0.125,4,0.4262584824899198,0.4439680461685964,3.7937431058370796,4.569075849597927
2,4,0.125,4,0.4527009364852128,0.4442749447988176,3.8149300960489105,4.392141618998823
8,4,0.125,2,0.4266585863499646,0.4459641334418241,3.668204581879482,4.48645139282773
16,1,0.125,2,0.42484935336885,0.44623961233501613,3.7117459593937343,4.49897281470908
2,2,0.125,4,0.5405153281437841,0.44662024690453367,4.4201496315440405,4.629982994336368
4,1,0.125,2,0.4259263164298942,0.4475449707071207,3.75343739267947,4.600805935763702
16,1,0.25,8,0.4317224341223501,0.4542563454547716,3.7640595923790983,4.584745160406403
8,2,0.125,2,0.4253407049089166,0.4576555891629259,3.665738915687412,4.598566198085565
2,4,0.125,16,0.4349022913536947,0.45993537751403946,3.8970550379798468,4.75662188759712
2,1,0.125,8,0.4288389164545874,0.46264505216897517,3.860165091796788,4.835812848728277
4,2,0.25,16,0.45846994455009277,0.4720454216873699,3.8836742895789684,4.589694659465981
2,4,0.125,8,0.5002919896791705,0.49045065465471804,4.168682808468994,4.657964211033233
4,2,0.125,2,0.6128678421823411,0.4949504718794604,5.1040296655320665,5.19816447101546
2,1,0.125,2,0.6329577051982985,0.4973796685065886,5.183683622280184,5.175345871784077
2,1,0.25,16,0.4836353567670511,0.5000550335373662,4.45245400726453,5.291442734679019
2,4,0.25,16,0.49577999474672874,0.5046906910167756,4.576519282635454,5.362079743931566
2,2,0.125,2,0.6383083875232114,0.5107323419372306,5.192281069288116,5.22898431189482
8,4,0.25,4,0.5093396434258362,0.5109415505250794,4.480940780569337,5.462661605942718
16,4,0.25,2,0.4706499336225542,0.5132111626649762,4.13731742663063,5.3285477184298164
16,4,0.25,4,0.5003237401808621,0.5145855536992253,4.150038604977174,5.114249214170384
4,1,0.25,4,0.5157088229449219,0.5170694750657028,4.379883323645502,5.200368088569782
16,2,0.25,4,0.4744732457043708,0.5189576927877471,4.375753812937435,5.574391835530296
8,2,0.25,4,0.5043362383280512,0.519009839795205,4.478974795167626,5.533202498209639
8,1,0.25,4,0.46913927526436316,0.525758514325284,4.239725171794252,5.445399931689479
16,1,0.25,4,0.4938643658681994,0.5383330107866657,4.563709203319902,5.748736163758206
4,4,0.25,4,0.49565768501109436,0.5399155508983267,4.539967333760426,5.884861027914367
2,2,0.25,8,0.5473683735108202,0.5526475986125783,4.51585839807557,5.419085221028588
2,1,0.25,4,0.5525699247059479,0.5595327934422586,4.799039809582495,5.774706452081739
2,2,0.25,16,0.576758649596774,0.5607255328583306,5.074733324489341,6.035305242201235
4,2,0.25,4,0.5008959043238242,0.5615047428755207,4.557791390375322,6.002912827720601
2,4,0.25,8,0.5761378772458717,0.5660239089879943,5.164735264045976,6.108804263477244
8,4,0.25,2,0.543803214939174,0.5722828129622781,4.644136863663296,5.717206565617185
2,4,0.25,4,0.5628434070894062,0.5738872090720136,4.963079470616384,6.036374605162613
2,2,0.25,4,0.6770560158285788,0.5765292233710101,5.488365444614234,5.869322558308115
2,1,0.25,8,0.578180783053399,0.5821119245837151,5.26878497740777,6.2329446224125675
8,2,0.25,2,0.592573377203152,0.5937292804290732,5.192340315245434,6.197567986075982
16,2,0.25,2,0.5501543250409282,0.5956512177677172,4.922840833370722,6.196037071488183
16,1,0.25,2,0.5956114651573003,0.6088636979481068,5.280331743898765,6.263320917702607
4,1,0.25,2,0.6200832094653166,0.6347800034903559,5.467404887932248,6.635381343462658
8,1,0.125,2,0.5162679365759801,0.6557233159238908,4.833456330758224,7.446573181755976
4,4,0.125,2,0.5175622618425525,0.6575504746517058,4.75942835625393,7.323983719105373
4,2,0.25,2,0.8341175607704588,0.6817764113576268,7.014199067877385,7.0989991648569815
2,4,0.125,2,0.5632413222862587,0.6969372644481043,5.24822199468224,7.841841295051681
2,2,0.25,2,0.8418870116655935,0.7067099241070776,6.965894944885632,7.235848644478327
2,1,0.25,2,0.8478658453496656,0.7165951421877707,7.0876194434445825,7.466044618846283
8,1,0.25,2,0.7519376836945967,0.9083907828867729,7.11334012530665,10.222135066126933
2,4,0.25,2,0.7595829443630463,0.9320685250557312,7.025288665491495,10.239750840096354
4,4,0.25,2,0.8365791168433515,0.9470370503068022,8.233270108260735,11.056557276703398
